,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
18,2021-07-30,678.3336759175139,546.450629615056,772.7911002449473,678.3336759175139,678.3336759175139,-19.72381236563181,-19.72381236563181,-19.72381236563181,-19.72381236563181,-19.72381236563181,-19.72381236563181,0.0,0.0,0.0,658.6098635518821
19,2021-08-02,687.6785536870325,571.0117709268355,790.594006024106,687.6785536870325,687.6785536870325,-3.6475952904034097,-3.6475952904034097,-3.6475952904034097,-3.6475952904034097,-3.6475952904034097,-3.6475952904034097,0.0,0.0,0.0,684.0309583966291
20,2021-08-03,690.7935129435386,572.2805289737378,789.6030787500188,690.7935129435386,690.7935129435386,-8.939251645271579,-8.939251645271579,-8.939251645271579,-8.939251645271579,-8.939251645271579,-8.939251645271579,0.0,0.0,0.0,681.854261298267
21,2021-08-04,693.9084722000449,575.4821049342269,794.7360510596561,693.9084722000449,693.9084722000449,-6.863497168392466,-6.863497168392466,-6.863497168392466,-6.863497168392466,-6.863497168392466,-6.863497168392466,0.0,0.0,0.0,687.0449750316525
22,2021-08-05,697.0234314565511,573.3396675725705,794.728637573759,697.0234314565511,697.0234314565511,-15.31679530030949,-15.31679530030949,-15.31679530030949,-15.31679530030949,-15.31679530030949,-15.31679530030949,0.0,0.0,0.0,681.7066361562415
23,2021-08-06,700.1383907130572,569.9897328974988,781.0143352290609,700.1383907130572,700.1383907130572,-19.723812365608865,-19.723812365608865,-19.723812365608865,-19.723812365608865,-19.723812365608865,-19.723812365608865,0.0,0.0,0.0,680.4145783474484
24,2021-08-09,709.4832684825758,600.2290597269623,817.1713823164038,709.4832684825758,709.4832684825758,-3.647595290399183,-3.647595290399183,-3.647595290399183,-3.647595290399183,-3.647595290399183,-3.647595290399183,0.0,0.0,0.0,705.8356731921766
25,2021-08-10,712.5982277432477,594.6056956228801,824.1857735799197,712.5982277432477,712.5982277432477,-8.939251645298782,-8.939251645298782,-8.939251645298782,-8.939251645298782,-8.939251645298782,-8.939251645298782,0.0,0.0,0.0,703.6589760979489
26,2021-08-11,715.7131870039195,594.6871544628758,822.407471190223,715.7131870039195,715.7131870039195,-6.863497168380342,-6.863497168380342,-6.863497168380342,-6.863497168380342,-6.863497168380342,-6.863497168380342,0.0,0.0,0.0,708.8496898355392
27,2021-08-12,718.8281462645914,582.3904662142822,814.6047981901733,718.8281462645914,718.8281462645914,-15.3167953003202,-15.3167953003202,-15.3167953003202,-15.3167953003202,-15.3167953003202,-15.3167953003202,0.0,0.0,0.0,703.5113509642712
28,2021-08-13,721.9431055252633,587.1487756525135,813.8695125809305,721.9431055252633,721.9431055252633,-19.723812365585925,-19.723812365585925,-19.723812365585925,-19.723812365585925,-19.723812365585925,-19.723812365585925,0.0,0.0,0.0,702.2192931596774
